Question,Expected,Predicted
What is FoodExpress?,FoodExpress is an AI-powered online restaurant ordering platform.,
What type of platform is FoodExpress?,AI-powered online restaurant ordering platform.,
What is the mission of FoodExpress?,"To deliver fresh, delicious, and affordable food quickly.",
What are your business hours?,10:00 AM – 11:00 PM.,
What is your support email?,support@foodexpress.com,
What is your website?,www.foodexpress.com,
What is your phone number?,+1-234-567-8901,
Where are you located?,"123 Main Street, Food City",
Do you offer home delivery?,"Yes, home delivery is available.",
How long is delivery?,30–45 minutes.,
What payment methods do you accept?,"Cash, Credit Card, Debit Card, and UPI.",
Can I cancel my order?,"Yes, before the order is prepared.",
burger list,"Veg Burger, Cheese Burger, Double Cheese Burger",
burger menu,"Veg Burger, Cheese Burger, Double Cheese Burger",
show burgers,"Veg Burger, Cheese Burger, Double Cheese Burger",
list burgers,"Veg Burger, Cheese Burger, Double Cheese Burger",
available burgers,"Veg Burger, Cheese Burger, Double Cheese Burger",
burger options,"Veg Burger, Cheese Burger, Double Cheese Burger",
what burgers do you have?,"Veg Burger, Cheese Burger, Double Cheese Burger",
show me burgers,"Veg Burger, Cheese Burger, Double Cheese Burger",
pizza list,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
pizza menu,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
show pizzas,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
list pizzas,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
available pizzas,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
pizza options,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
what pizzas do you have?,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
show me pizzas,"Margherita Pizza, Pepperoni Pizza, Veggie Pizza",
pasta list,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
pasta menu,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
show pastas,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
list pastas,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
available pastas,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
pasta options,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
what pastas do you have?,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
show me pastas,"White Sauce Pasta, Red Sauce Pasta, Mixed Pasta",
sandwich list,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
sandwich menu,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
show sandwichs,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
list sandwichs,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
available sandwichs,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
sandwich options,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
what sandwichs do you have?,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
show me sandwichs,"Veg Sandwich, Grilled Sandwich, Cheese Sandwich",
dessert list,"Ice Cream, Brownie, Chocolate Cake",
dessert menu,"Ice Cream, Brownie, Chocolate Cake",
show desserts,"Ice Cream, Brownie, Chocolate Cake",
list desserts,"Ice Cream, Brownie, Chocolate Cake",
available desserts,"Ice Cream, Brownie, Chocolate Cake",
dessert options,"Ice Cream, Brownie, Chocolate Cake",
what desserts do you have?,"Ice Cream, Brownie, Chocolate Cake",
show me desserts,"Ice Cream, Brownie, Chocolate Cake",
drink list,"Coca-Cola, Pepsi, Sprite, Water",
drink menu,"Coca-Cola, Pepsi, Sprite, Water",
show drinks,"Coca-Cola, Pepsi, Sprite, Water",
list drinks,"Coca-Cola, Pepsi, Sprite, Water",
available drinks,"Coca-Cola, Pepsi, Sprite, Water",
drink options,"Coca-Cola, Pepsi, Sprite, Water",
what drinks do you have?,"Coca-Cola, Pepsi, Sprite, Water",
show me drinks,"Coca-Cola, Pepsi, Sprite, Water",
hello,Hello! Welcome to FoodExpress.,
hi,Hello! Welcome to FoodExpress.,
good morning,Hello! Welcome to FoodExpress.,
good evening,Hello! Welcome to FoodExpress.,
thank you,You're welcome!,
thanks,You're welcome!,
bye,Thank you for visiting FoodExpress.,
goodbye,Thank you for visiting FoodExpress.,
restaurant timings,10:00 AM – 11:00 PM.,
opening hours,10:00 AM – 11:00 PM.,
working hours,10:00 AM – 11:00 PM.,
delivery available?,"Yes, home delivery is available.",
payment options,"Cash, Credit Card, Debit Card, and UPI.",
today offers,Check the Offers section for current promotions.,
current offers,Check the Offers section for current promotions.,
discounts,Check the Offers section for current promotions.,
vegetarian menu,"Veg Burger, Veggie Pizza",
non veg menu,"Chicken Burger, Pepperoni Pizza",
sample faq variation 1,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 2,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 3,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 4,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 5,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 6,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 7,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 8,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 9,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 10,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 11,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 12,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 13,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 14,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 15,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 16,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 17,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 18,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 19,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 20,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 21,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 22,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 23,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 24,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 25,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 26,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 27,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 28,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 29,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 30,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 31,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 32,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 33,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 34,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 35,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 36,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 37,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 38,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 39,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 40,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 41,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 42,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 43,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 44,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 45,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 46,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 47,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 48,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 49,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 50,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 51,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 52,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 53,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 54,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 55,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 56,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 57,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 58,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 59,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 60,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 61,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 62,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 63,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 64,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 65,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 66,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 67,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 68,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 69,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 70,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 71,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 72,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 73,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 74,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 75,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 76,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 77,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 78,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 79,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 80,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 81,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 82,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 83,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 84,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 85,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 86,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 87,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 88,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 89,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 90,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 91,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 92,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 93,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 94,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 95,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 96,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 97,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 98,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 99,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 100,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 101,Refer to the restaurant knowledge base for the requested information.,
sample faq variation 102,Refer to the restaurant knowledge base for the requested information.,
